127.0.0.1 - - [04/Apr/2020:11:59:24 +0100] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [04/Apr/2020:11:59:26 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:11:59:26 +0100] "GET /backoffice/login;jsessionid=A271AC767E98E12E3F784262150DBA99 HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [04/Apr/2020:11:59:26 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:00:20 +0100] "GET /backoffice/home HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:00:20 +0100] "GET /backoffice/Styles/HomeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:00:30 +0100] "GET /backoffice/prive/chercheproprietaire.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:00:30 +0100] "GET /backoffice/login HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:00:31 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:00:32 +0100] "POST /backoffice/login HTTP/1.1" 200 796
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:00:34 +0100] "GET /backoffice/home HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:00:36 +0100] "GET /backoffice/prive/chercheproprietaire.html HTTP/1.1" 200 2633
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:00:45 +0100] "GET /backoffice/prive/afficheproprietaire?idprop=%3E7&nom=&prenom=&numpriv=&numtrav= HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:00:45 +0100] "GET /backoffice/prive/Images/icon4.ico HTTP/1.1" 404 754
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:00:48 +0100] "GET /backoffice/prive/afficheproprietaire?idprop=&nom=&prenom=&numpriv=&numtrav= HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:01:30 +0100] "GET /backoffice/home HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:01:33 +0100] "GET /backoffice/prive/supprimeproprietaire.html HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:01:34 +0100] "GET /backoffice/home HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:02:10 +0100] "GET /backoffice/prive/afficheproprietaire?idprop=&nom=&prenom=&numpriv=&numtrav= HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:04:44 +0100] "GET /backoffice/home HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:09:59 +0100] "GET /backoffice/ajoubien HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:10:11 +0100] "GET /backoffice/prive/ajoubien HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:10:22 +0100] "GET /backoffice/ajoubien.html HTTP/1.1" 404 737
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:10:28 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:39:08 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 200 8087
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:39:08 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:40:32 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 200 8093
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:40:32 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:42:16 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 200 8047
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:42:17 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:43:40 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 200 8065
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:43:40 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:45:12 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 200 7800
0:0:0:0:0:0:0:1 - - [04/Apr/2020:12:45:13 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:17:26 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:17:26 +0100] "GET /backoffice/login HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:17:26 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:17:28 +0100] "POST /backoffice/login HTTP/1.1" 200 796
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:17:29 +0100] "GET /backoffice/home HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:17:33 +0100] "GET /backoffice/prive/ajoutvisite.html HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:17:50 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 200 7818
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:19:22 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 200 7821
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:19:22 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:22:14 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:22:14 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:22:16 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:22:16 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:22:17 +0100] "GET /backoffice/home HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:22:42 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:23:00 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:23:00 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:23:00 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:23:01 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:15:38:41 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:15:38:41 +0100] "GET /backoffice/login HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [04/Apr/2020:15:38:41 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:15:38:43 +0100] "POST /backoffice/login HTTP/1.1" 200 796
0:0:0:0:0:0:0:1 - - [04/Apr/2020:15:38:45 +0100] "GET /backoffice/home HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [04/Apr/2020:15:39:42 +0100] "GET /backoffice/home HTTP/1.1" 200 4008
