127.0.0.1 - - [08/May/2020:17:19:19 +0100] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [08/May/2020:17:19:19 +0100] "GET /backoffice/prive/ajouteragent HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2020:17:19:19 +0100] "GET /backoffice/;jsessionid=25A371E94A943E3CD3B4192190749511 HTTP/1.1" 200 4075
0:0:0:0:0:0:0:1 - - [08/May/2020:17:19:20 +0100] "GET /backoffice/Images/login.jpg HTTP/1.1" 200 81110
0:0:0:0:0:0:0:1 - - [08/May/2020:17:19:22 +0100] "GET /backoffice/;jsessionid=25A371E94A943E3CD3B4192190749511 HTTP/1.1" 200 4075
0:0:0:0:0:0:0:1 - - [08/May/2020:17:19:22 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [08/May/2020:17:19:29 +0100] "POST /backoffice/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2020:17:19:29 +0100] "GET /backoffice/prive/home HTTP/1.1" 200 4068
0:0:0:0:0:0:0:1 - - [08/May/2020:17:19:29 +0100] "GET /backoffice/1351.js HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [08/May/2020:17:19:29 +0100] "GET /backoffice/Style/MonStyle.css HTTP/1.1" 200 5165
0:0:0:0:0:0:0:1 - - [08/May/2020:17:19:36 +0100] "GET /backoffice/prive/chercherbien HTTP/1.1" 200 9496
0:0:0:0:0:0:0:1 - - [08/May/2020:17:19:36 +0100] "GET /backoffice/ville.js HTTP/1.1" 200 4658
0:0:0:0:0:0:0:1 - - [08/May/2020:17:19:38 +0100] "GET /backoffice/descriptifbien?identifiant=1 HTTP/1.1" 200 5623
0:0:0:0:0:0:0:1 - - [08/May/2020:17:21:53 +0100] "GET /backoffice/prive/home HTTP/1.1" 200 4068
0:0:0:0:0:0:0:1 - - [08/May/2020:17:22:07 +0100] "GET /backoffice/prive/chercherbien HTTP/1.1" 200 9496
0:0:0:0:0:0:0:1 - - [08/May/2020:17:23:55 +0100] "GET /backoffice/descriptifbien?identifiant=1 HTTP/1.1" 200 5623
0:0:0:0:0:0:0:1 - - [08/May/2020:17:23:56 +0100] "GET /backoffice/prive/chercheragent HTTP/1.1" 200 8863
0:0:0:0:0:0:0:1 - - [08/May/2020:17:24:24 +0100] "GET /backoffice/prive/chercheragent HTTP/1.1" 200 8863
0:0:0:0:0:0:0:1 - - [08/May/2020:17:24:24 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [08/May/2020:17:24:27 +0100] "GET /backoffice/prive/chercherbien HTTP/1.1" 200 9496
0:0:0:0:0:0:0:1 - - [08/May/2020:17:24:29 +0100] "GET /backoffice/descriptifbien?identifiant=1 HTTP/1.1" 200 5622
0:0:0:0:0:0:0:1 - - [08/May/2020:17:24:31 +0100] "GET /backoffice/prive/chercherbien HTTP/1.1" 200 9496
0:0:0:0:0:0:0:1 - - [08/May/2020:17:24:36 +0100] "GET /backoffice/prive/chercherbien HTTP/1.1" 200 9496
0:0:0:0:0:0:0:1 - - [08/May/2020:17:24:37 +0100] "GET /backoffice/prive/ajouterbien HTTP/1.1" 200 23278
0:0:0:0:0:0:0:1 - - [08/May/2020:17:26:52 +0100] "GET /backoffice/prive/ajouterbien HTTP/1.1" 200 23278
0:0:0:0:0:0:0:1 - - [08/May/2020:17:26:52 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [08/May/2020:17:27:22 +0100] "GET /backoffice/prive/ajouterbien HTTP/1.1" 200 23278
0:0:0:0:0:0:0:1 - - [08/May/2020:17:27:22 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [08/May/2020:17:27:48 +0100] "GET /backoffice/prive/ajouterbien HTTP/1.1" 200 23296
0:0:0:0:0:0:0:1 - - [08/May/2020:17:27:48 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [08/May/2020:17:28:40 +0100] "GET /backoffice/prive/ajouterbien HTTP/1.1" 200 23314
0:0:0:0:0:0:0:1 - - [08/May/2020:17:28:41 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [08/May/2020:17:29:26 +0100] "GET /backoffice/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2020:17:29:26 +0100] "GET /backoffice/ HTTP/1.1" 200 4075
0:0:0:0:0:0:0:1 - - [08/May/2020:17:29:33 +0100] "GET /backoffice/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2020:17:29:33 +0100] "GET /backoffice/ HTTP/1.1" 200 4075
0:0:0:0:0:0:0:1 - - [08/May/2020:17:29:33 +0100] "POST /backoffice/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/May/2020:17:29:49 +0100] "POST /backoffice/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2020:17:29:49 +0100] "GET /backoffice/prive/home HTTP/1.1" 200 4068
