127.0.0.1 - - [10/Jun/2020:16:51:02 +0100] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:51:03 +0100] "GET /backoffice/WEB-INF/biendescriptif.jsp HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:51:48 +0100] "GET /backoffice/prive/ajoutagent HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:51:48 +0100] "GET /backoffice/;jsessionid=6DBCA08242D5C2EED1C4FC2A13B5A9B8 HTTP/1.1" 200 4075
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:51:48 +0100] "GET /backoffice/Images/login.jpg HTTP/1.1" 200 81110
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:51:59 +0100] "GET /backoffice/; HTTP/1.1" 200 4075
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:51:59 +0100] "GET /backoffice/Images/login.jpg HTTP/1.1" 200 81110
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:51:59 +0100] "GET /backoffice/test.scss HTTP/1.1" 404 655
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:51:59 +0100] "GET /backoffice/;/Images/login.jpg HTTP/1.1" 200 81110
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:51:59 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:12 +0100] "POST /backoffice/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:12 +0100] "GET /backoffice/prive/home HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:12 +0100] "GET /backoffice/JS/jquery-3.4.1.js HTTP/1.1" 200 290960
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:12 +0100] "GET /backoffice/JS/1351.js HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:12 +0100] "GET /backoffice/Style/MonStyle.css HTTP/1.1" 200 5165
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:12 +0100] "GET /backoffice/navbar.html HTTP/1.1" 200 3527
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:12 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:19 +0100] "GET /backoffice/prive/ajouterprop HTTP/1.1" 200 3180
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:19 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:30 +0100] "GET /backoffice/prive/ajouteragent HTTP/1.1" 200 4156
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:30 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:33 +0100] "GET /backoffice/prive/chercherprop HTTP/1.1" 200 4402
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:33 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:40 +0100] "GET /backoffice/prive/descriptifprop?identifiant=1 HTTP/1.1" 200 5618
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:41 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:47 +0100] "GET /backoffice/prive/descriptifbien?identifiant=1 HTTP/1.1" 200 27235
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:47 +0100] "GET /backoffice/Style/slideshow.css HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:47 +0100] "GET /backoffice/JS/slideshow.js HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:47 +0100] "GET /backoffice/JS/ville.js HTTP/1.1" 200 4771
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:47 +0100] "GET /backoffice/Images/Bien/1/1-1.jpg HTTP/1.1" 200 3718609
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:47 +0100] "GET /backoffice/Images/Bien/1/1-3.jpg HTTP/1.1" 200 4075480
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:47 +0100] "GET /backoffice/Images/Bien/1/1-4.jpg HTTP/1.1" 200 2904927
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:52:47 +0100] "GET /backoffice/Images/Bien/1/1-2.jpg HTTP/1.1" 200 4488626
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:53:13 +0100] "GET /backoffice/prive/chercheragent HTTP/1.1" 200 5914
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:53:13 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:53:25 +0100] "GET /backoffice/prive/descriptifagent?identifiant=1 HTTP/1.1" 200 5546
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:53:25 +0100] "GET /backoffice/Images/Agent/1/1-1.jpg HTTP/1.1" 200 70491
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:53:25 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:53:37 +0100] "GET /backoffice/prive/modifieagent?nom=Mnejjaa&prenom=Hassen&numtel=54+890+234&region=Sfax&idagent=1 HTTP/1.1" 404 668
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:53:37 +0100] "GET /favicon.ico HTTP/1.1" 404 642
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:53:40 +0100] "GET /backoffice/prive/modifieagent?nom=Mnejjaa&prenom=Hassen&numtel=54+890+234&region=Sfax&idagent=1 HTTP/1.1" 404 668
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:53:45 +0100] "GET /backoffice/prive/descriptifagent?identifiant=1 HTTP/1.1" 200 5546
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:53:45 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:53:45 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:53:54 +0100] "GET /backoffice/prive/chercheragent HTTP/1.1" 200 5914
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:53:54 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:53:56 +0100] "GET /backoffice/prive/descriptifagent?identifiant=2 HTTP/1.1" 200 5553
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:53:56 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:53:56 +0100] "GET /backoffice/Images/Agent/2/2-1.jpg HTTP/1.1" 200 539397
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:54:02 +0100] "GET /backoffice/prive/modifieagent?nom=Ben+Hriz&prenom=Akrama&numtel=24+145+145&region=Tunis&idagent=2 HTTP/1.1" 404 668
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:54:06 +0100] "GET /backoffice/prive/chercherprop HTTP/1.1" 200 4402
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:54:06 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:54:07 +0100] "GET /backoffice/prive/descriptifprop?identifiant=1 HTTP/1.1" 200 5618
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:54:07 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:54:12 +0100] "GET /backoffice/prive/modifieprop?nom=Jarbouii&prenom=Saif+Eddine&numpriv=24+587+789&numtrav=74+258+368&debutdispo=08%3A00&findispo=18%3A00&idprop=1&adress=Menzel+Chaker%2C+Sfax HTTP/1.1" 404 667
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:54:29 +0100] "GET /backoffice/prive/chercherbien HTTP/1.1" 200 7530
